country,year,gov_control_corruption,gov_effectiveness,gov_political_stability,gov_regulatory_quality,gov_rule_of_law,gov_voice_accountability,female_account_ownership,female_labor_force_participation,vulnerable_employment_rate,youth_neet_rate,youth_unemployment_rate,refugee_population,asylum_seeker_population,idp_population,stateless_population,host_community_population
Ethiopia,2010,-0.6997533,-0.4772744,-1.5760665,-0.7207448,-0.8369645,-1.2490008,,74.36,88.8349580144057,,3.435,154288,1014,0,0,0
Ethiopia,2011,-0.6055573,-0.5169232,-1.5281949,-0.861597699999999,-0.847511,-1.2689659,,74.322,88.44281295247981,,3.42,288839,1340,0,0,0
Ethiopia,2012,-0.6106685,-0.4212532,-1.613535,-0.917400999999999,-0.7490211,-1.2547209,,74.286,88.0693385117263,,3.414,376388,837,0,0,0
Ethiopia,2013,-0.5672534,-0.5207719,-1.3952471,-1.06822369999999,-0.8458441,-1.3228999,,74.251,87.7271951584348,10.482,3.429,433933,930,0,0,0
Ethiopia,2014,-0.5429668,-0.451422999999999,-1.1765231,-0.9043825,-0.7533654,-1.3018621,21.0040311985886,72.219,87.26354900337009,,3.634,659520,4120,0,0,0
Ethiopia,2015,-0.5196265,-0.5298526,-1.26354339999999,-0.902880599999999,-0.805187299999999,-1.3145088,,70.185,86.8080524689374,,3.813,736081,2126,0,0,0
Ethiopia,2016,-0.435890499999999,-0.4771006,-1.43965759999999,-0.9613611,-0.798565,-1.3385295,,68.148,86.3623410416873,,4.031,791631,1948,0,0,0
Ethiopia,2017,-0.5649481,-0.5281279,-1.5195725,-0.898545399999999,-0.782502799999999,-1.369723,29.0754315174008,66.108,85.95136906007261,,4.25,889412,2593,1078429,0,0
Ethiopia,2018,-0.4565279,-0.5328814,-1.2054246,-0.846342199999999,-0.7938799,-1.1704682,,64.059,85.5703892314737,,4.515,903226,2136,2615800,0,0
Ethiopia,2019,-0.4268519,-0.5253376,-1.1789771,-0.828078099999999,-0.7767788,-1.01667779999999,,62.001,85.2199628039605,,4.752,733123,1677,1733628,0,0
Ethiopia,2020,-0.368558799999999,-0.551689499999999,-1.5934093,-0.8158694,-0.8139468,-1.0380249,,59.297,85.7358454393711,,6.356,800454,1901,2733628,0,0
Ethiopia,2021,-0.4003096,-0.650462099999999,-2.0139565,-0.7684521,-0.9484534,-1.0719325,,57.555,85.3372193352939,17.529,6.246,821283,2251,3646267,0,84953
Ethiopia,2022,-0.406565399999999,-0.7000773,-1.8659545,-0.7815691,-0.9181925,-1.1043087,38.7371742509369,58.001,85.0570339605148,,5.45,879598,2214,2730000,0,596148
