Economy,Report Year,8. Entrepreneurship LF Topic Score,9. Assets LF Topic Score,8. Entrepreneurship SF Topic Score,9. Assets SF Topic Score,8. Entrepreneurship EP Topic Score,9. Assets EP Topic Score
Ethiopia,2024,50.0,100,,,,
Ethiopia,2025,50.0,100,,,,
Ethiopia,2026,50.0,100,30.0,100.0,43.75,93.75
Kenya,2024,62.5,75,,,,
Kenya,2025,62.5,75,,,,
Kenya,2026,62.5,75,70.0,50.0,50,68.75
Rwanda,2024,50.0,100,,,,
Rwanda,2025,50.0,100,,,,
Rwanda,2026,50.0,100,90.0,100.0,43.75,100
Tanzania,2024,50.0,50,,,,
Tanzania,2025,50.0,50,,,,
Tanzania,2026,50.0,50,25.0,50.0,43.75,62.5
Uganda,2024,50.0,75,,,,
Uganda,2025,50.0,75,,,,
Uganda,2026,50.0,75,67.5,87.5,37.5,56.25
